Ministry,Department
"Minister of Health and Mass Media","Lanka Puwath Ltd"
"Minister of Health and Mass Media","Medical Research Institute"
"Minister of Health and Mass Media","National Authority on Tobacco and Alcohol"
"Minister of Health and Mass Media","National Health Council"
"Minister of Health and Mass Media","National Health Development Fund"
"Minister of Health and Mass Media","National Institute of Health Sciences"
"Minister of Health and Mass Media","National Institute of Nephrology, Dialysis and Transplantation"
"Minister of Health and Mass Media","National Medicines Regulatory Authority"
"Minister of Health and Mass Media","Postal Department"
"Minister of Health and Mass Media","Private Health Services Regulatory Council"
"Minister of Health and Mass Media","Right to Information Commission"
"Minister of Health and Mass Media","School of Medical Laboratory Technology"
"Minister of Health and Mass Media","Selacine Media Solutions (PVT) LTD"
"Minister of Health and Mass Media","Sri Jayewardenepura General Hospital"
"Minister of Health and Mass Media","Sri Lanka Ayurvedic Drugs Corporation"
"Minister of Health and Mass Media","Sri Lanka Broadcasting Corporation"
"Minister of Health and Mass Media","Sri Lanka Foundation"
"Minister of Health and Mass Media","Sri Lanka Institute of Printing"
"Minister of Health and Mass Media","Sri Lanka Media Training Institute"
"Minister of Health and Mass Media","Sri Lanka Medical College Council"
"Minister of Health and Mass Media","Sri Lanka Medical Council"
"Minister of Health and Mass Media","Sri Lanka Nursing Council"
"Minister of Health and Mass Media","Sri Lanka Press Council"
"Minister of Health and Mass Media","Sri Lanka Rupavahini Corporation"
"Minister of Health and Mass Media","State Pharmaceutical Corporation"
"Minister of Health and Mass Media","State Pharmaceutical Manufacturing Corporation"
"Minister of Health and Mass Media","Vijaya Kumaratunga Memorial Hospital"
"Minister of Housing, Construction and Water Supply","Building Material Corporation Limited"
"Minister of Housing, Construction and Water Supply","Construction Guarantee Fund"
"Minister of Housing, Construction and Water Supply","Construction Industry Development Authority"
"Minister of Housing, Construction and Water Supply","Department of Buildings"
"Minister of Housing, Construction and Water Supply","Department of Government Factories"
"Minister of Housing, Construction and Water Supply","Department of National Community Water Supply"
"Minister of Housing, Construction and Water Supply","Engineering Council of Sri Lanka"
"Minister of Housing, Construction and Water Supply","National Equipment and Machinery Organization"
"Minister of Housing, Construction and Water Supply","National Housing Development Authority"
"Minister of Housing, Construction and Water Supply","National Water Supply and Drainage Board"
"Minister of Housing, Construction and Water Supply","Ocean View Development (Pvt) Ltd."
"Minister of Housing, Construction and Water Supply","State Engineering Corporation"
"Minister of Industry and Entrepreneurship Development","BCC Lanka Limited"
"Minister of Industry and Entrepreneurship Development","Ceylon Ceramics Corporation (Brick and Tiles Division)"
"Minister of Industry and Entrepreneurship Development","Ceylon Industrial Development Board"
"Minister of Industry and Entrepreneurship Development","Department of Textile Industries"
"Minister of Industry and Entrepreneurship Development","GSMB Technical Services (Pvt) Ltd."
"Minister of Industry and Entrepreneurship Development","Galoya Plantation (Pvt.) Company"
"Minister of Industry and Entrepreneurship Development","Gem and Jewellery Research and Training Institute"
"Minister of Industry and Entrepreneurship Development","Geological Survey and Mines Bureau"
"Minister of Industry and Entrepreneurship Development","Hingurana Sugar Industry Ltd."
"Minister of Industry and Entrepreneurship Development","Kahatagaha Graphite Lanka Ltd"
"Minister of Industry and Entrepreneurship Development","Kantale Sugar Company Ltd."
"Minister of Industry and Entrepreneurship Development","Lanka Cement Ltd"
"Minister of Industry and Entrepreneurship Development","Lanka Leyland (Pvt) Ltd."
"Minister of Industry and Entrepreneurship Development","Lanka Mineral Sands Company"
"Minister of Industry and Entrepreneurship Development","Lanka Phosphate Limited"
"Minister of Industry and Entrepreneurship Development","Lanka Salusala Ltd"
"Minister of Industry and Entrepreneurship Development","Lanka Sugar Company (Pvt.) Ltd."
"Minister of Industry and Entrepreneurship Development","Lanka Textile Mills Emporium Ltd."
"Minister of Industry and Entrepreneurship Development","National Crafts Council"
"Minister of Industry and Entrepreneurship Development","National Design Centre"
"Minister of Industry and Entrepreneurship Development","National Enterprise Development Authority"
"Minister of Industry and Entrepreneurship Development","National Gem and Jewellery Authority"
"Minister of Industry and Entrepreneurship Development","National Paper Corporation Ltd."
"Minister of Industry and Entrepreneurship Development","National Productivity Secretariat"
"Minister of Industry and Entrepreneurship Development","National Salt Limited"
"Minister of Industry and Entrepreneurship Development","Paranthan Chemicals Ltd"
"Minister of Industry and Entrepreneurship Development","Small Enterprise Development Division"
"Minister of Industry and Entrepreneurship Development","Small and Medium Enterprises Authority"
"Minister of Industry and Entrepreneurship Development","Small and Medium Enterprises Venture Capital Company"
"Minister of Industry and Entrepreneurship Development","Sri Lanka Cement Corporation"
"Minister of Industry and Entrepreneurship Development","Sri Lanka Export Development Board"
"Minister of Industry and Entrepreneurship Development","Sri Lanka Handicraft Board (Laksala)"
"Minister of Industry and Entrepreneurship Development","Sri Lanka Institute of Textile and Apparels"
"Minister of Industry and Entrepreneurship Development","Sugar Cane Research Institute"
"Minister of Industry and Entrepreneurship Development","Timber-related Design Centre"
"Minister of Justice and National Integration","Attorney General's Department"
"Minister of Justice and National Integration","Commercial Mediation Centre of Sri Lanka"
"Minister of Justice and National Integration","Community Based Correction Department"
"Minister of Justice and National Integration","Council of Legal Education"
"Minister of Justice and National Integration","Department of Debt Conciliation Board"
"Minister of Justice and National Integration","Department of Government Analyst"
"Minister of Justice and National Integration","Department of Official Languages"
"Minister of Justice and National Integration","Department of Prisons"
"Minister of Justice and National Integration","Law Commission of Sri Lanka"
"Minister of Justice and National Integration","Legal Aid Commission of Sri Lanka"
"Minister of Justice and National Integration","Legal Draftsman's Department"
"Minister of Justice and National Integration","Mediation Boards Commission"
"Minister of Justice and National Integration","National Authority for the Protection of Victims of Crime and Witnesses"
"Minister of Justice and National Integration","National Institute of Language Education and Training"
"Minister of Justice and National Integration","Non Judicial Officers Training Institute"
"Minister of Justice and National Integration","Office for National Unity and Reconciliation"
"Minister of Justice and National Integration","Office for Reparations"
"Minister of Justice and National Integration","Office of the Registrar of the Supreme Court"
"Minister of Justice and National Integration","Office on Missing Persons"
"Minister of Justice and National Integration","Official Languages Commission"
"Minister of Justice and National Integration","Sri Lanka Judges Institute"
"Minister of Justice and National Integration","Superior Courts Complex Board of Management"
"Minister of Justice and National Integration","Training Schools for Youthful Offenders"
"Minister of Labour","Department of Labour"
"Minister of Labour","Department of Manpower and Employment"
"Minister of Labour","National Institute for Occupational Safety and Health"
"Minister of Labour","National Institute of Labour Studies"
"Minister of Labour","Office of the Commissioner of Workmen's Compensation"
"Minister of Labour","Shrama Vasana Fund"
"Minister of Plantation and Community Infrastructure","Chilaw Plantation Company Ltd"
"Minister of Plantation and Community Infrastructure","Coconut Cultivation Board"
"Minister of Plantation and Community Infrastructure","Coconut Development Authority"
"Minister of Plantation and Community Infrastructure","Coconut Research Institute"
"Minister of Plantation and Community Infrastructure","Department of Rubber Development"
"Minister of Plantation and Community Infrastructure","Elkaduwa Plantation Company Ltd."
"Minister of Plantation and Community Infrastructure","Estate Sector Self-Employment Revolving Fund"
"Minister of Plantation and Community Infrastructure","Janatha Estate Development Board"
"Minister of Plantation and Community Infrastructure","Kalubovitiyana Tea Factory Ltd."
"Minister of Plantation and Community Infrastructure","Kapruka Fund"
"Minister of Plantation and Community Infrastructure","Kithul Development Board"
"Minister of Plantation and Community Infrastructure","Kurunegala Plantation Company Ltd."
"Minister of Plantation and Community Infrastructure","National Institute of Plantation Management"
"Minister of Plantation and Community Infrastructure","New Villages Development Authority for Plantation Region"
"Minister of Plantation and Community Infrastructure","Palmyrah Development Board"
"Minister of Plantation and Community Infrastructure","Plantation Human Development Trust"
"Minister of Plantation and Community Infrastructure","Rubber Research Institute"
"Minister of Plantation and Community Infrastructure","Saumyamoorthi Thondaman Memorial Foundation"
"Minister of Plantation and Community Infrastructure","Spices and Allied Products Marketing Board"
"Minister of Plantation and Community Infrastructure","Sri Lanka Cashew Corporation"
"Minister of Plantation and Community Infrastructure","Sri Lanka Rubber Manufacturing and Export Corporation"
"Minister of Plantation and Community Infrastructure","Sri Lanka State Plantation Corporation"
"Minister of Plantation and Community Infrastructure","Sri Lanka Tea Board"
"Minister of Plantation and Community Infrastructure","Tea Research Institute"
"Minister of Plantation and Community Infrastructure","Tea Shakthi Fund"
"Minister of Plantation and Community Infrastructure","Tea Small Holdings Development Authority"
"Minister of Plantation and Community Infrastructure","Tea and Rubber Estates (Control of Fragmentation) Board"
"Minister of Plantation and Community Infrastructure","Thurusaviya Fund"
"Minister of Ports and Civil Aviation","Airport and Aviation Services (Sri Lanka) Ltd."
"Minister of Ports and Civil Aviation","Ceylon Shipping Corporation Ltd."
"Minister of Ports and Civil Aviation","Civil Aviation Authority of Sri Lanka"
"Minister of Ports and Civil Aviation","Merchant Shipping Secretariat"
"Minister of Ports and Civil Aviation","Sri Lanka Ports Authority and its Subsidiaries and Associates"
"Minister of Ports and Civil Aviation","Sri Lankan Airlines and its subsidiaries "
"Minister of Public Administration, Provincial Councils and Local Government","All District Secretariats and Divisional Secretariats"
"Minister of Public Administration, Provincial Councils and Local Government","Department of Pensions"
"Minister of Public Administration, Provincial Councils and Local Government","Department of Registrar General"
"Minister of Public Administration, Provincial Councils and Local Government","Distance Learning Centre Ltd."
"Minister of Public Administration, Provincial Councils and Local Government","Local Government Service Pension Fund"
"Minister of Public Administration, Provincial Councils and Local Government","Local Government Widowers' and Orphans' Pension Fund"
"Minister of Public Administration, Provincial Councils and Local Government","Local Government Widows' and Orphans' Pension Fund"
"Minister of Public Administration, Provincial Councils and Local Government","Local Loans and Development Fund"
"Minister of Public Administration, Provincial Councils and Local Government","National Human Resources Development Council of Sri Lanka"
"Minister of Public Administration, Provincial Councils and Local Government","Public Service Pensioners' Trust Fund"
"Minister of Public Administration, Provincial Councils and Local Government","Sri Lanka Institute of Development Administration"
