Ministry,Department,URL,url_2,url_3,lookup_status,lookup_error
"Minister of Agriculture, Livestock, Land and Irrigation",Agriculture and Agrarian Insurance Board,soe.lk,aib.gov.lk,srilankalaw.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Central Engineering Consultancy Bureau and its subsidiaries and affiliated companies,cecb.lk,treasury.gov.lk,parliament.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Department of Agrarian Development,agrariandept.gov.lk,agrarian.lk,doa.gov.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Department of Agriculture,doa.gov.lk,agrimin.gov.lk,agrarian.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Department of Animal Production and Health,np.gov.lk,daph.gov.lk,vet.pdn.ac.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Department of Cinnamon Development,cinnamon.gov.lk,dea.gov.lk,,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Department of Export Agriculture,doa.gov.lk,dea.gov.lk,agrimin.gov.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Department of Irrigation,irrigation.gov.lk,irrigationmin.gov.lk,np.gov.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Department of Land Commissioner General,landcom.gov.lk,landdept.wp.gov.lk,landmin.gov.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Department of Land Title Settlement,landsettledept.gov.lk,rgd.gov.lk,landmin.gov.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Department of Land Use Policy Planning,nsdi.gov.lk,agrimin.gov.lk,cabinetoffice.gov.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Hector Kobbekaduwa Agrarian Research and Training Institute,harti.gov.lk,ips.lk,parliament.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Institute of Surveying and Mapping,ism.ac.lk,studyway.lk,survey.gov.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Land Acquisition Board of Review,landmin.gov.lk,lst.lk,srilankalaw.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Land Reform Commission,lrc.gov.lk,parliament.lk,srilankalaw.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Land Survey Council,survey.gov.lk,soe.lk,ism.ac.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Mahaweli Consultancy Bureau (Pvt) Ltd,mcb.gov.lk,auditorgeneral.gov.lk,cabinetoffice.gov.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Mahaweli Livestock Enterprise Limited,rainbowpages.lk,auditorgeneral.gov.lk,parliament.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation","Major irrigation development projects including Uma Oya, Moragahakanda, Kalu Ganga, Gin Ganga, Nilwala, Malwathu Oya",mcb.gov.lk,irrigation.gov.lk,irrigationmin.gov.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Milco (Pvt.) Ltd.,milco.lk,soe.lk,,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",National Agricultural Diversification and Settlement Authority,hadabima.gov.lk,nfpb.lk,parliament.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",National Fertilizer Secretariat,services.nfmis.nfs.gov.lk,kurunegala.dist.gov.lk,nfmis.nfs.gov.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",National Hunger Eradication Campaign Board of Sri Lanka (National Food Promotion Board),nfpb.lk,parliament.lk,rainbowpages.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",National Institute of Post-Harvest Management,niphm.lk,parliament.lk,agrimin.gov.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",National Livestock Development Board and affiliated companies,nldb.gov.lk,parliament.lk,treasury.gov.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Paddy Marketing Board,srilankalaw.lk,hirunews.lk,,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Sri Lanka Council for Agricultural Research Policy,slcarp.lk,plusinfo.lk,parliament.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Sri Lanka Mahaweli Authority,mahaweli.gov.lk,srilankalaw.lk,,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",State Fertilizer Company Ltd.,parliament.lk,soe.lk,rainbowpages.lk,ok,
"Minister of Agriculture, Livestock, Land and Irrigation",Survey Department of Sri Lanka,survey.gov.lk,ism.ac.lk,nsdi.gov.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",Amaradeva Aesthetic and Research Centre,srilankalaw.lk,documents.gov.lk,mbrc.gov.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",Buddhasasana Fund,mbs.gov.lk,auditorgeneral.gov.lk,mbrc.gov.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",Buddhist Renaissance Fund,presidentsfund.gov.lk,dba.gov.lk,mbs.gov.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",Central Cultural Fund,ccf.gov.lk,parliament.lk,culturaldept.gov.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Archaeology,archaeology.gov.lk,hindudept.gov.lk,cahcmatara.gov.lk,ok,
"Minister of Buddhasasana, Religious and Cultural Affairs",Department of Buddhist Affairs,mbs.gov.lk,dba.gov.lk,statistics.gov.lk,ok,
